0,'agjeyuf,don’t-overcook!
0,'ajoden,put-them!
0,'ajoten,put-it!
0,'axuhodox,knead-them!
0,'axuhotox,knead-it!
0,'az,be!
0,'bacev,wait!
0,'baceyev,don’t-wait!
0,'balem,may!
0,'bolodot,recall-them!
0,'bovipa,hello
0,'calpem,ensure!
0,'dotab,apply-it!
0,'enxotaq,submerge-it!
0,'erobok,cut-them-two!
0,'erotok,cut-it!
0,'fotaz,take-it!
0,'iktojumit,forgive-me!
0,'irotal,pour-it!
0,'ixodop,roll-them!
0,'ixotop,roll-it!
0,'ji'sumag,fight-me!
0,'jotuf,cook-it!
0,'kar,add!
0,'karodur,melt-them!
0,'karotur,melt-it!
0,'kobar,add-them-two!
0,'kodar,add-them!
0,'kotar,add-it!
0,'lay,depart!
0,'lirodwb,boil-them!
0,'lirotwb,boil-it!
0,'mid,look!
0,'mohotur,flatten-it!
0,'motid,look-at-it!
0,'nodom,bake-them!
0,'noteb,move-it!
0,'notom,bake-it!
0,'ola,mana
0,'olwe,mana
0,'pem,cause!
0,'piotwv,use-it!
0,'qotuk,make-it!
0,'quk,make!
0,'radotok,shape-it!
0,'reodal,mix-them!
0,'reotal,mix-it!
0,'rulfobob,combine-them-two!
0,'rulfodob,combine-them!
0,'saenxodaq,slightly-submerge-them!
0,'sakohoban,lightly-toast-it!
0,'sexen,love-y’all!
0,'sivoteg,show-it!
0,'tex,go!
0,'tibwr,right now
0,'tol,choose!
0,'totag,let-it!
0,'urmotez,cover-it!
0,'viqotel,divide-it!
0,'voenxodaq,unsubmerge-them!
0,'vosiveyoteg,don’t-hide-it!
0,'vourmobez,uncover-them-two!
0,'wlodoc,eat-them!
0,'wndak,consult!
0,'yotad,do-it!
0,'yotit,receive-it!
0,'zajoduf,fry-them!
0,'zajotuf,fry-it!
0,'zat,it-is
0,a'mi,hey
0,ab,they two
0,abla,mouth
0,abvura,tetrahedron
0,ad,they
0,adbole,star
0,adbolwe,stars
0,agabxo,dank
0,agabxwe,dank
0,agaywe,not-bigs
0,agdusikwe,so cold
0,ageywe,very-smalls
0,agi,big
0,agi',biggest
0,agi'fi,bigger
0,agis,largely
0,agodrelesa,very-different+R
0,agogwe,too many
0,agovekqayu,very-not-easy
0,agri,big+R
